,Weight,Category,Screen_size,Screen_type,Screen_resolution,CPU_Brand,CPU_series,CPU_model,RAM,Storage_amount,Storage_type,Storage_info,GPU_Brand,GPU_Model,OS,original_price,after_discount,persian_info,full_info,discount_percent
0,1.24,مک بوک,13.6,IPS or LED-backlit,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,8.0,524288.0,SSD,SSD NVMe,Apple,10 core ,Apple Mac OS,74000000.0,73000000.0,لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Midnight MLY43  پردازنده M2 رم 8GB حافظه 512GB SSD گرافیک 10Core GPU,Apple MacBook Air 2022 Midnight MLY43 M2 8GB 512GB SSD 10-Core GPU 13.6 inch Laptop,1.35
1,1.24,مک بوک,13.6,IPS or LED-backlit,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,8.0,524288.0,SSD,SSD NVMe,Apple,10 core ,Apple Mac OS,74300000.0,73300000.0,لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Starlight MLY23 پردازنده M2 رم 8GB حافظه 512GB SSD گرافیک 10Core GPU,Apple MacBook Air 2022 Starlight MLY23 M2 8GB 512GB SSD 10-Core GPU 13.6 inch Laptop,1.35
3,1.24,مک بوک,13.6,IPS or LED-backlit,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,8.0,524288.0,SSD,SSD NVMe,Apple,10 core ,Apple Mac OS,75300000.0,74300000.0,لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Space Gray MLXX3 پردازنده M2 رم 8GB حافظه 512GB SSD گرافیک 10Core GPU,Apple MacBook Air 2022 Space Gray MLXX3 M2 8GB 512GB SSD 10-Core GPU 13.6 inch Laptop,1.33
4,1.75,نوت بوک (لپ تاپ),15.6,TFT or TN,1080 * 1920,INTEL,Core i3,I3-1115G4,20.0,524288.0,SSD,SSD NVMe,Intel,uhd,Dos,,17270000.0,لپ تاپ لنوو 15.6 اینچی مدل Ideapad 3 پردازنده Core i3 1115G4 رم 20GB حافظه 512GB SSD گرافیک Intel,Ideapad 3 Core i3 1115G4 20GB 512GB SSD Intel FHD Laptop,0.0
5,1.6,مک بوک,14.2,IPS or LED-backlit,3024*1964,Apple,M1 Pro,M1 Pro with 8-core CPU,16.0,524288.0,SSD,,Apple,M 16,Apple Mac OS,106000000.0,105000000.0,لپ تاپ اپل 14 اینچ مدل Mac Book Pro 14inch MKGR3 پردازنده M1 Pro رم 16GB حافظه 512GB SSD,Apple MacBook Pro 14‑inch MKGR3 M1 Pro 16GB 512GB SSD Laptop,0.94
6,1.6,مک بوک,14.2,IPS or LED-backlit,3024*1964,Apple,M1 Pro,M1 Pro with 8-core CPU,16.0,524288.0,SSD,,Apple,M 16,Apple Mac OS,93100000.0,92100000.0,لپ تاپ اپل 14 اینچ مدل Mac Book Pro 14inch MKGP3 پردازنده M1 Pro رم 16GB حافظه 512GB SSD,Apple MacBook Pro 14‑inch MKGP3 M1 Pro 16GB 512GB SSD Laptop,1.07
7,1.6,مک بوک,14.2,IPS or LED-backlit,3024*1964,Apple,M1 Pro,M1 Pro with 10-core CPU,16.0,1024.0,SSD,,Apple,M 16,Apple Mac OS,108888000.0,107888000.0,لپ تاپ اپل 14 اینچ مدل Mac Book Pro 14inch MKGQ3 پردازنده M1 Pro رم 16GB حافظه 1TB SSD,Apple MacBook Pro 14‑inch MKGQ3 M1 Pro 16GB 1TB SSD Laptop,0.92
9,2.2,مک بوک,16.2,IPS or LED-backlit,3456*2234,Apple,M1 Pro,M1 Pro with 10-core CPU,16.0,524288.0,SSD,,Apple,M 16,Apple Mac OS,99500000.0,98500000.0,لپ تاپ اپل 16 اینچ مدل Mac Book Pro 16inch MK1E3 پردازنده M1 Pro رم 16GB حافظه 512GB SSD,Apple MacBook Pro 16‑inch MK1E3 M1 Pro 16GB 512GB SSD Laptop,1.01
10,1.24,مک بوک,13.6,IPS or LED-backlit,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,8.0,524288.0,SSD,SSD NVMe,Apple,10 core ,Apple Mac OS,74388000.0,73388000.0,لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Silver MLY03 پردازنده M2 رم 8GB حافظه 512GB SSD گرافیک 10Core GPU,Apple MacBook Air 2022 Silver MLY03 M2 8GB 512GB SSD 10-Core GPU 13.6 inch Laptop,1.34
11,1.6,مک بوک,14.2,IPS or LED-backlit,3024*1964,Apple,M1 Pro,M1 Pro with 10-core CPU,16.0,1024.0,SSD,,Apple,M 16,Apple Mac OS,102888000.0,101888000.0,لپ تاپ اپل 14 اینچ مدل Mac Book Pro 14inch MKGT3 پردازنده M1 Pro رم 16GB حافظه 1TB SSD,Apple MacBook Pro 14‑inch MKGT3 M1 Pro 16GB 1TB SSD Laptop,0.97
12,2.2,مک بوک,16.2,IPS or LED-backlit,3456*2234,Apple,M1 Pro,M1 Pro with 10-core CPU,16.0,1024.0,SSD,,Apple,M 16,Apple Mac OS,105880000.0,104880000.0,لپ تاپ اپل 16 اینچ مدل Mac Book Pro 16inch MK193 پردازنده M1 Pro رم 16GB حافظه 1TB SSD,Apple MacBook Pro 16‑inch MK193 M1 Pro 16GB 1TB SSD Laptop,0.94
13,1.4,مک بوک,13.3,IPS or LED-backlit,1600 * 2560,Apple,M2,"M2 chip with 8‑core CPU, 10‑core GPU, 16‑core Neural Engine",8.0,262144.0,SSD,SSD NVMe,Apple,M2 10,Apple Mac OS,70000000.0,69000000.0,لپ تاپ اپل 13.3 اینچی مدل Apple MacBook Pro 2022 MNEH3 پردازنده M2 رم 8GB حافظه 256GB SSD,"Apple MacBook Pro 2022 13.3"" MNEH3 M2 8GB 256GB SSD Laptop",1.43
14,1.4,مک بوک,13.3,IPS or LED-backlit,1600 * 2560,Apple,M2,"M2 chip with 8‑core CPU, 10‑core GPU, 16‑core Neural Engine",8.0,524288.0,SSD,SSD NVMe,Apple,M2 10,Apple Mac OS,76000000.0,75000000.0,لپ تاپ اپل 13.3 اینچی مدل Apple MacBook Pro 2022 MNEJ3 پردازنده M2 رم 8GB حافظه 512GB SSD,"Apple MacBook Pro 2022 13.3"" MNEJ3 M2 8GB 512GB SSD Laptop",1.32
15,1.4,مک بوک,13.3,IPS or LED-backlit,1600 * 2560,Apple,M2,"M2 chip with 8‑core CPU, 10‑core GPU, 16‑core Neural Engine",8.0,524288.0,SSD,SSD NVMe,Apple,M2 10,Apple Mac OS,76000000.0,75000000.0,لپ تاپ اپل 13.3 اینچی مدل Apple MacBook Pro 2022 MNEQ3 پردازنده M2 رم 8GB حافظه 512GB SSD,"Apple MacBook Pro 2022 13.3"" MNEQ3 M2 8GB 512GB SSD Laptop",1.32
16,2.2,مک بوک,16.2,IPS or LED-backlit,3456*2234,Apple,M1 Pro,M1 Pro with 10-core CPU,16.0,524288.0,SSD,,Apple,M 16,Apple Mac OS,,97880000.0,لپ تاپ اپل 16 اینچ مدل Mac Book Pro 16inch MK183 پردازنده M1 Pro رم 16GB حافظه 512GB SSD,Apple MacBook Pro 16‑inch MK183 M1 Pro 16GB 512GB SSD Laptop,0.0
17,1.29,مک بوک,13.3,IPS or LED-backlit,1600 * 2560,Apple,M1,Apple M1 Chip,8.0,262144.0,SSD,,Apple,7core apple-designed integrated gpu,Apple Mac OS,47383000.0,46383000.0,MacBook Air اپل 13 اینچ مدل MGND3 2020 پردازنده M1 رم 8GB حافظه 256GB SSD,Apple MacBook Air MGND3 2020 - 13 inch Laptop,2.11
18,1.4,مک بوک,13.3,IPS or LED-backlit,1600 * 2560,Apple,M2,"M2 chip with 8‑core CPU, 10‑core GPU, 16‑core Neural Engine",8.0,262144.0,SSD,SSD NVMe,Apple,M2 10,Apple Mac OS,70000000.0,69000000.0,لپ تاپ اپل 13.3 اینچی مدل Apple MacBook Pro 2022 MNEP3 پردازنده M2 رم 8GB حافظه 256GB SSD,"Apple MacBook Pro 2022 13.3"" MNEP3 M2 8GB 256GB SSD Laptop",1.43
20,1.53,نوت بوک (لپ تاپ),13.5,IPS or LED-backlit,2000 * 3000,INTEL,Core i7,i7-8650U,16.0,524288.0,SSD,,Nvidia Gforce,geforce® gtx 1050 gddr5,Microsoft Windows 10,56200000.0,55812000.0,لپ تاپ مایکروسافت 13 اینچ مدل Surface Book 2 پردازنده Core i7 رم 16GB هارد 512GB با صفحه نمایش لمسی,Surface Book 2 Core i7 16GB 512GB 2GB 13inch Touch,0.69
21,1.66,نوت بوک (لپ تاپ),15.6,HD or Full HD,1080 * 1920,INTEL,Core i7,i7-1255U,16.0,524288.0,SSD,SSD NVMe,Nvidia Gforce,mx550 gddr6,Windows X,39900000.0,39600000.0,لپ تاپ دل 15.6 اینچی مدل Vostro 3520-C پردازنده Core i7 1255U رم 16GB حافظه 512GB SSD گرافیک 2GB,Vostro 3520-C Core i7 1255U 16GB 512GB SSD 2GB MX550 FHD Laptop,0.75
22,1.7,نوت بوک (لپ تاپ),15.6,HD or Full HD,768 * 1366,INTEL,Core i5,i5-1135G7,32.0,5243904.0,Hybrid,SSD NVMe,Nvidia Gforce,mx350 gddr5,Windows X,35990000.0,34990000.0,لپ تاپ دل 15.6 اینچی مدل Vostro 3510 پردازنده Core i5 1135G7 رم 32GB حافظه 1TB 512GB SSD گرافیک 2GB,Vostro 3510 Core i5 1135G7 32GB 1TB 512GB SSD 2GB MX350 HD Laptop,2.78
23,1.534,نوت بوک (لپ تاپ),13.5,IPS or LED-backlit,2000 * 3000,INTEL,Core i7,i7 1065 G7,32.0,1024.0,SSD,,Nvidia Gforce,geforce rtx 3060,Microsoft Windows 10,88180000.0,87180000.0,لپ تاپ مایکروسافت 13 اینچ مدل Surface Book 3 پردازنده Core i7 رم 32GB هارد 1TB SSD گرافیک 4GB با صفحه نمایش لمسی,Surface Book 3 Core i7 32GB 1TB SSD 4GB 13.5 inch Touch,1.13
24,1.66,نوت بوک (لپ تاپ),15.6,HD or Full HD,1080 * 1920,INTEL,Core i7,i7-1255U,8.0,524288.0,SSD,SSD NVMe,Nvidia Gforce,mx550 gddr6,Windows X,38900000.0,38600000.0,لپ تاپ دل 15.6 اینچی مدل Vostro 3520-D پردازنده Core i7 1255U رم 8GB حافظه 512GB SSD گرافیک 2GB,Vostro 3520-D Core i7 1255U 8GB 512GB SSD 2GB MX550 FHD Laptop,0.77
25,1.534,نوت بوک (لپ تاپ),13.5,IPS or LED-backlit,2000 * 3000,INTEL,Core i7,i7 1065 G7,16.0,262144.0,SSD,,Nvidia Gforce,geforce rtx 3060,Microsoft Windows 10,61500000.0,60500000.0,لپ تاپ مایکروسافت 13 اینچ مدل Surface Book 3 پردازنده Core i7 رم 16GB هارد 256GB SSD گرافیک 4GB با صفحه نمایش لمسی,Surface Book 3 Core i7 16GB 256GB SSD 4GB 13.5 inch Touch,1.63
26,1.2,نوت بوک (لپ تاپ),13.5,IPS or LED-backlit,2256 * 1504,INTEL,Core i5,i5-1035G7,8.0,131072.0,SSD,,Intel,iris plus,Microsoft Windows 10,37288000.0,36288000.0,لپ تاپ 13 اینچی مایکروسافت مدل Surface Laptop 3 - A,Surface Laptop 3 - A Core i5 8GB 128GB SSD Intel Touch Laptop,2.68
27,1.9,نوت بوک (لپ تاپ),15.0,IPS or LED-backlit,2160 * 3840,INTEL,Core i7,i7-8650U,16.0,524288.0,SSD,,Nvidia Gforce,gtx 1060 gddr5,Microsoft Windows 10,67800000.0,66800000.0,لپ تاپ مایکروسافت 15 اینچ مدل Surface Book 2 پردازنده Core i7 رم 16GB هارد 512GB گرافیک 6GB با صفحه نمایش لمسی,Surface Book 2 Core i7 16GB 512GB 6GB 15inch Touch,1.47
28,1.11,نوت بوک (لپ تاپ),12.5,IPS or LED-backlit,,INTEL,Core i5,i5 1035 G1,8.0,262144.0,SSD,,Intel,uhd,Microsoft Windows 10,30380000.0,29380000.0,لپ تاپ مایکروسافت 12.4 اینچی مدل Surface Laptop Go پردازنده Core i5 رم 8GB حافظه 256GB صفحه نمایش لمسی,Surface Laptop Go Core i5 8GB 256GB Intel 12.4inch Touch Laptop,3.29
29,1.2,نوت بوک (لپ تاپ),13.5,IPS or LED-backlit,2256 * 1504,INTEL,Core i5,i5-1035G7,8.0,262144.0,SSD,,Intel,iris plus,Microsoft Windows 10,41000000.0,40000000.0,لپ تاپ 13 اینچی مایکروسافت مدل Surface Laptop 3 - B,Surface Laptop 3 - B Core i5 8GB 256GB SSD Intel Touch Laptop,2.44
30,1.54,نوت بوک (لپ تاپ),15.0,IPS or LED-backlit,,AMD,Ryzen 7,Ryzen 7 4980U,16.0,524288.0,SSD,,AMD,powered by amd ryzen™ microsoft surface® edition: amd radeon™ graphics,Microsoft Windows 10,59000000.0,58900000.0,لپ تاپ 15 اینچی مایکروسافت مدل Surface Laptop 4 پردازنده Ryzen 7 4980U رم 16GB حافظه 512GB SSD گرافیک AMD Radeon,Surface Laptop 4 15inch Ryzen 7 4980U 16GB 512GB SSD AMD Radeon Touch Laptop,0.17
31,1.11,نوت بوک (لپ تاپ),12.5,IPS or LED-backlit,,INTEL,Core i5,i5 1035 G1,4.0,65536.0,eMMC,,Intel,uhd,Microsoft Windows 10,,21700000.0,لپ تاپ مایکروسافت 12.4 اینچی مدل Surface Laptop Go پردازنده Core i5 رم 4GB حافظه 64GB صفحه نمایش لمسی,Surface Laptop Go Core i5 4GB 64GB Intel 12.4inch Touch Laptop,0.0
32,1.11,نوت بوک (لپ تاپ),12.5,IPS or LED-backlit,,INTEL,Core i5,i5 1035 G1,16.0,262144.0,SSD,,Intel,uhd,Microsoft Windows 10,33500000.0,32500000.0,لپ تاپ مایکروسافت 12.4 اینچی مدل Surface Laptop Go پردازنده Core i5 رم 16GB حافظه 256GB صفحه نمایش لمسی,Surface Laptop Go Core i5 16GB 256GB Intel 12.4inch Touch Laptop,2.99
33,1.11,نوت بوک (لپ تاپ),12.5,IPS or LED-backlit,,INTEL,Core i5,i5 1035 G1,8.0,131072.0,SSD,,Intel,uhd,Microsoft Windows 10,26000000.0,25000000.0,لپ تاپ مایکروسافت 12.4 اینچی مدل Surface Laptop Go پردازنده Core i5 رم 8GB حافظه 128GB صفحه نمایش لمسی,Surface Laptop Go Core i5 8GB 128GB Intel 12.4inch Touch Laptop,3.85
34,1.66,نوت بوک (لپ تاپ),15.6,HD or Full HD,1080 * 1920,INTEL,Core i7,i7-1255U,16.0,1024.0,SSD,SSD NVMe,Nvidia Gforce,mx550 gddr6,Windows X,,41833000.0,لپ تاپ دل 15.6 اینچی مدل Vostro 3520-A پردازنده Core i7 1255U رم 16GB حافظه 1TB SSD گرافیک 2GB,Vostro 3520-A Core i7 1255U 16GB 1TB SSD 2GB MX550 FHD Laptop,0.0
35,1.2,نوت بوک (لپ تاپ),13.5,IPS or LED-backlit,2256 * 1504,AMD,Ryzen 5,,16.0,262144.0,SSD,,AMD Radeon,amd ryzen™ microsoft surface® edition: amd radeon™ graphics,Microsoft Windows 10,45100000.0,44100000.0,لپ تاپ 13 اینچی مایکروسافت مدل Surface Laptop 4 پردازنده Ryzen 5 رم 16GB حافظه 256GB SSD گرافیک AMD,Surface Laptop 4 13.5inch Ryzen 5 4680U 16GB 256GB SSD AMD Touch Laptop,2.22
36,1.74,نوت بوک (لپ تاپ),14.4,IPS or LED-backlit,1600 * 2560,INTEL,Core i5,i5-11300H,16.0,524288.0,SSD,,Intel,iris plus,Microsoft Windows 11,71230000.0,70230000.0,لپ تاپ 14.4 اینچی مایکروسافت مدل Surface Laptop Studio پردازنده Core i5-11300H رم 16GB حافظه 512GB SSD گرافیک Intel,Surface Laptop Studio 14.4inch Core i5-11300H 16GB 512GB SSD Intel Touch Laptop,1.4
37,1.54,نوت بوک (لپ تاپ),15.0,IPS or LED-backlit,,INTEL,Core i7,i7-1185G7,16.0,262144.0,SSD,,Intel,iris plus,Microsoft Windows 10,58888000.0,57888000.0,لپ تاپ 15 اینچی مایکروسافت مدل Surface Laptop 4 پردازنده Core i7-1185G7 رم 16GB حافظه 256GB SSD گرافیک Intel,Surface Laptop 4 15inch Core i7-1185G7 16GB 256GB SSD Intel Touch Laptop,1.7
38,1.54,نوت بوک (لپ تاپ),15.0,IPS or LED-backlit,,AMD,Ryzen 7,Ryzen 7 4980U,8.0,262144.0,SSD,,AMD,powered by amd ryzen™ microsoft surface® edition: amd radeon™ graphics,Microsoft Windows 10,47330000.0,46330000.0,لپ تاپ 15 اینچی مایکروسافت مدل Surface Laptop 4 پردازنده Ryzen 7 4980U رم 8GB حافظه 256GB SSD گرافیک AMD Radeon,Surface Laptop 4 15inch Ryzen 7 4980U 8GB 256GB SSD AMD Radeon Touch Laptop,2.11
39,1.11,نوت بوک (لپ تاپ),12.5,IPS or LED-backlit,,INTEL,Core i5,i5-1135G7,4.0,131072.0,SSD,,Intel,intel® iris® xe graphics,Microsoft Windows 11,,30310000.0,لپ تاپ مایکروسافت 12.4 اینچی مدل Surface Laptop Go 2 پردازنده Core i5 رم 4GB حافظه 128GB صفحه نمایش لمسی,Surface Laptop Go 2 Core i5 1135G7 4GB 128GB Intel 12.4inch Touch Laptop,0.0
40,1.2,نوت بوک (لپ تاپ),13.5,IPS or LED-backlit,2256 * 1504,INTEL,Core i7,i7 1065 G7,16.0,524288.0,SSD,,Intel,iris plus,Microsoft Windows 10,,57350000.0,لپ تاپ 13 اینچی مایکروسافت مدل Surface Laptop 3,Surface Laptop 3 Core i7 16GB 512GB SSD Intel Touch Laptop,0.0
41,1.534,نوت بوک (لپ تاپ),13.5,IPS or LED-backlit,2000 * 3000,INTEL,Core i5,i5-1035G7,8.0,262144.0,SSD,,Intel,iris plus,Microsoft Windows 10,46000000.0,45000000.0,لپ تاپ مایکروسافت 13 اینچ مدل Surface Book 3 پردازنده Core i5 رم 8GB هارد 256GB با صفحه نمایش لمسی,Surface Book 3 Core i5 8GB 256GB SSD Intel 13.5 inch Touch,2.17
42,1.642,نوت بوک (لپ تاپ),15.0,IPS or LED-backlit,2160 * 3840,INTEL,Core i7,i7 1065 G7,32.0,524288.0,SSD,,Nvidia Gforce,gtx 1660 ti,Microsoft Windows 10,88400000.0,88300000.0,لپ تاپ مایکروسافت 15 اینچ مدل Surface Book 3  پردازنده Core i7 رم 32GB هارد 512GB با صفحه نمایش لمسی,Surface Book 3 Core i7 32GB 512GB SSD 6GB 15 inch Touch,0.11
43,1.5,نوت بوک (لپ تاپ),15.0,IPS or LED-backlit,1440 * 2304,INTEL,Core i5,i5-1035G7,8.0,131072.0,SSD,,Intel,iris plus,Microsoft Windows 10,40330000.0,39330000.0,لپ تاپ مایکروسافت 15 اینچی مدل Surface Laptop 3 پردازنده Core i5 رم 8GB حافظه 128GB,Surface Laptop 3 15inch Core i5 8GB 128GB SSD Intel Touch Laptop,2.48
44,1.2,نوت بوک (لپ تاپ),15.0,IPS or LED-backlit,2256 * 1504,INTEL,Core i7,i7 1065 G7,16.0,262144.0,SSD,,Intel,iris plus,Microsoft Windows 10,51300000.0,50300000.0,لپ تاپ 15 اینچی مایکروسافت مدل Surface Laptop 3 Core i7 16GB 256GB SSD Intel,Surface Laptop 3 Core i7 16GB 256GB SSD Intel Touch 15 Inch Laptop,1.95
45,1.2,نوت بوک (لپ تاپ),13.5,IPS or LED-backlit,2256 * 1504,INTEL,Core i5,i5-1035G7,16.0,262144.0,SSD,,Intel,iris plus,Microsoft Windows 10,,47380000.0,لپ تاپ مایکروسافت لپ تاپ 13 اینچی مایکروسافت مدل Surface Laptop 3 با پردازنده i5 و حافظه 256 گیگابایت,Surface Laptop 3 Core i5 16GB 256GB SSD Intel Touch Laptop,0.0
46,1.8,نوت بوک (لپ تاپ),15.6,HD or Full HD,1080 * 1920,INTEL,Core i7,i7 1165G7,12.0,1024.0,SSD,SSD NVMe,Nvidia Gforce,geforce mx330,Windows X,32199000.0,32074000.0,لپ تاپ ایسوس 15.6 اینچی مدل X515EP پردازنده Core i7 1165G7 رم 12GB حافظه 1TB SSD گرافیک 2GB,X515EP Core i7 1165G7 12GB 1TB SSD 2GB MX330 FHD Laptop,0.39
47,1.8,نوت بوک (لپ تاپ),15.6,Others,1080 * 1920,INTEL,Core i3,I3-1115G4,8.0,524288.0,SSD,SSD NVMe,Intel,uhd,Windows X,17399000.0,17289000.0,لپ تاپ ایسوس 15.6 اینچی مدل X1500EA پردازنده Core i3 1115G4 رم 8GB حافظه 512GB SSD گرافیک Intel فول اچ دی,X1500EA Core i3 1115G4 8GB 512GB SSD Intel Full HD Laptop,0.63
48,2.1,نوت بوک (لپ تاپ),15.6,HD or Full HD,1080 * 1920,INTEL,Core i3,I3-1115G4,16.0,1024.0,SSD,SSD NVMe,Intel,uhd,Dos,,17900000.0,لپ تاپ 15.6 اینچی ایسر مدل Aspire A315 پردازنده Core i3-1115G4 رم 16GB حافظه 1TB SSD گرافیک Intel,Aspire A315 Core i3-1115G4 16GB 1TB SSD Intel Full HD Laptop,0.0
49,1.8,نوت بوک (لپ تاپ),15.6,Others,1080 * 1920,INTEL,Core i3,I3-1115G4,4.0,262144.0,SSD,SSD NVMe,Intel,uhd,Windows X,16199000.0,16074000.0,لپ تاپ ایسوس 15.6 اینچی مدل X1500EA پردازنده Core i3 1115G4 رم 4GB حافظه 256GB SSD گرافیک Intel فول اچ دی,X1500EA Core i3 1115G4 4GB 256GB SSD Intel Full HD Laptop,0.77
50,1.8,نوت بوک (لپ تاپ),14.4,IPS or LED-backlit,1600 * 2560,INTEL,Core i7,i7-11370H,16.0,524288.0,SSD,,Nvidia Gforce,rtx 3050,Microsoft Windows 11,94383000.0,93383000.0,لپ تاپ 14.4 اینچی مایکروسافت مدل Surface Laptop Studio پردازنده Core i7-11370H رم 16GB حافظه 512GB SSD گرافیک 4GB RTX3050Ti,Surface Laptop Studio 14.4inch Core i7-11370H 16GB 512GB SSD 4GB RTX 3050Ti Touch Laptop,1.06
51,1.8,نوت بوک (لپ تاپ),14.4,IPS or LED-backlit,1600 * 2560,INTEL,Core i7,i7-11370H,32.0,2048.0,SSD,,Nvidia Gforce,rtx 3050,Microsoft Windows 11,140000000.0,139000000.0,لپ تاپ 14.4 اینچی مایکروسافت مدل Surface Laptop Studio پردازنده Core i7-11370H رم 32GB حافظه 2TB SSD گرافیک 4GB A2000,Surface Laptop Studio 14.4inch Core i7-11370H 32GB 2TB SSD 4GB RTX A2000 Touch Laptop,0.71
52,2.15,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i5,i5-1240P,16.0,1024.0,SSD,SSD NVMe,Nvidia Gforce,rtx 3050,Dos,38700000.0,38500000.0,لپ تاپ ایسر 15.6 اینچی مدل Aspire 7 A715-51G پردازنده Core i5 1240P رم 16GB حافظه 1TB SSD گرافیک 3050 4GB,Aspire 7 A715-51G Core i5 1240P 16GB 1TB SSD 4GB 3050 Full HD Laptop,0.52
53,2.15,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i5,i5-1240P,16.0,524288.0,SSD,SSD NVMe,Nvidia Gforce,rtx 3050,Dos,37190000.0,36990000.0,لپ تاپ ایسر 15.6 اینچی مدل Aspire 7 A715-51G پردازنده Core i5 1240P رم 16GB حافظه 512GB SSD گرافیک 3050 4GB,Aspire 7 A715-51G Core i5 1240P 16GB 512GB SSD 4GB 3050 Full HD Laptop,0.54
54,2.5,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i7,i7-12700H,16.0,524288.0,SSD,SSD NVMe,Nvidia Gforce,rtx 3050,Dos,46300000.0,46075000.0,لپ تاپ 15.6 اینچی ایسر مدل Nitro 5 AN515-58-754D Core i7 16GB 512GB SSD 4GB RTX3050,Nitro 5 AN515-58-754D Core i7 12700H 16GB 512GB SSD 4GB 3050 Full HD Laptop,0.49
55,2.5,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i7,i7-12700H,32.0,1024.0,SSD,SSD NVMe,Nvidia Gforce,rtx 3050,Dos,49500000.0,49300000.0,لپ تاپ 15.6 اینچی ایسر مدل Nitro 5 AN515-58-754D Core i7 32GB 1TB SSD 4GB RTX3050,Nitro 5 AN515-58-754D Core i7 12700H 32GB 1TB SSD 4GB 3050 Full HD Laptop,0.4
56,2.15,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i5,i5-1240P,8.0,524288.0,SSD,SSD NVMe,Nvidia Gforce,rtx 3050,Dos,36100000.0,35900000.0,لپ تاپ ایسر 15.6 اینچی مدل Aspire 7 A715-51G پردازنده Core i5 1240P رم 8GB حافظه 512GB SSD گرافیک 3050 4GB,Aspire 7 A715-51G Core i5 1240P 8GB 512GB SSD 4GB 3050 Full HD Laptop,0.55
57,2.5,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i7,i7-12700H,16.0,1024.0,SSD,SSD NVMe,Nvidia Gforce,rtx 3050,Dos,48300000.0,48100000.0,لپ تاپ 15.6 اینچی ایسر مدل Nitro 5 AN515-58-754D Core i7 16GB 1TB SSD 4GB RTX3050,Nitro 5 AN515-58-754D Core i7 12700H 16GB 1TB SSD 4GB 3050 Full HD Laptop,0.41
58,2.15,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i7,i7-1260P,16.0,1024.0,SSD,SSD NVMe,Nvidia Gforce,rtx 3050,Dos,43100000.0,42900000.0,لپ تاپ ایسر 15.6 اینچی مدل Aspire 7 A715-51G-754E پردازنده Core i7 1260P رم 16GB حافظه 1TB SSD گرافیک 3050 4GB,Aspire 7 A715-51G-754E Core i7 1260P 16GB 1TB SSD 4GB 3050 Full HD Laptop,0.46
59,2.15,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i7,i7-1260P,16.0,524288.0,SSD,SSD NVMe,Nvidia Gforce,rtx 3050,Dos,41000000.0,40800000.0,لپ تاپ ایسر 15.6 اینچی مدل Aspire 7 A715-51G-754E پردازنده Core i7 1260P رم 16GB حافظه 512GB SSD گرافیک 3050 4GB,Aspire 7 A715-51G-754E Core i7 1260P 16GB 512GB SSD 4GB 3050 Full HD Laptop,0.49
60,2.1,نوت بوک (لپ تاپ),15.6,HD or Full HD,1080 * 1920,INTEL,Core i3,I3-1115G4,12.0,5243904.0,Hybrid,,Nvidia Gforce,geforce mx350,Dos,20800000.0,20700000.0,لپ تاپ 15.6 اینچی ایسر مدل Aspire A315 پردازنده Core i3-1115G4 رم 12GB حافظه 1TB 512GB SSD گرافیک 2GB,Aspire A315 Core i3 1115G4 12GB 1TB 512GB SSD 2GB Full HD Laptop,0.48
61,2.1,نوت بوک (لپ تاپ),15.6,HD or Full HD,1080 * 1920,INTEL,Core i3,I3-1115G4,8.0,1311744.0,Hybrid,SSD NVMe,Nvidia Gforce,geforce mx350,Dos,19300000.0,19100000.0,لپ تاپ 15.6 اینچی ایسر مدل Aspire A315 پردازنده Core i3-1115G4 رم 8GB حافظه 1TB 128GB SSD گرافیک 2GB,Aspire A315 Core i3 1115G4 8GB 1TB 128GB SSD 2GB Full HD Laptop,1.04
62,1.7,نوت بوک (لپ تاپ),15.6,,1080 * 1920,INTEL,Core i3,I3-1115G4,8.0,5243904.0,Hybrid,,Intel,uhd,Dos,,18270000.0,لپ تاپ لنوو 15.6 اینچی مدل ThinkBook 15 پردازنده Core i3 1115G4 رم 8GB حافظه 1TB 512GB SSD گرافیک Intel,ThinkBook 15 Core i3 1115G4 8GB 1TB 512GB SSD Intel FHD Laptop,0.0
